Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

SCHOTTKY18 LED0603           3838.331mil    724.748mil       3838mil        725mil   3838.331mil    667.937mil  B        180.00                
LR 33      LED0603           5639.517mil     2502.8mil   5639.517mil     2502.8mil   5668.509mil   2531.791mil  T         45.00                
LR 34      LED0603           5765.517mil     2502.8mil   5765.517mil     2502.8mil   5794.509mil   2531.791mil  T         45.00                
LR 35      LED0603           5891.517mil     2502.8mil   5891.517mil     2502.8mil   5920.509mil   2531.791mil  T         45.00                
LR 36      LED0603           6017.517mil     2502.8mil   6017.517mil     2502.8mil   6046.509mil   2531.791mil  T         45.00                
LR 37      LED0603           6143.517mil     2502.8mil   6143.517mil     2502.8mil   6172.509mil   2531.791mil  T         45.00                
LR 38      LED0603           6269.517mil     2502.8mil   6269.517mil     2502.8mil   6298.509mil   2531.791mil  T         45.00                
LR 39      LED0603           6395.517mil     2502.8mil   6395.517mil     2502.8mil   6424.509mil   2531.791mil  T         45.00                
LR 40      LED0603           6521.517mil     2502.8mil   6521.517mil     2502.8mil   6550.509mil   2531.791mil  T         45.00                
LR 41      LED0603           5639.517mil     2376.8mil   5639.517mil     2376.8mil   5668.509mil   2405.791mil  T         45.00                
LR 42      LED0603           5765.517mil     2376.8mil   5765.517mil     2376.8mil   5794.509mil   2405.791mil  T         45.00                
LR 43      LED0603           5891.517mil     2376.8mil   5891.517mil     2376.8mil   5920.509mil   2405.791mil  T         45.00                
LR 44      LED0603           6017.517mil     2376.8mil   6017.517mil     2376.8mil   6046.509mil   2405.791mil  T         45.00                
LR 45      LED0603           6143.517mil     2376.8mil   6143.517mil     2376.8mil   6172.509mil   2405.791mil  T         45.00                
LR 46      LED0603           6269.517mil     2376.8mil   6269.517mil     2376.8mil   6298.509mil   2405.791mil  T         45.00                
LR 47      LED0603           6395.517mil     2376.8mil   6395.517mil     2376.8mil   6424.509mil   2405.791mil  T         45.00                
LR 48      LED0603           6521.517mil     2376.8mil   6521.517mil     2376.8mil   6550.509mil   2405.791mil  T         45.00                
LR 49      LED0603           5639.517mil     2250.8mil   5639.517mil     2250.8mil   5668.509mil   2279.791mil  T         45.00                
LR 50      LED0603           5765.517mil     2250.8mil   5765.517mil     2250.8mil   5794.509mil   2279.791mil  T         45.00                
LR 51      LED0603           5891.517mil     2250.8mil   5891.517mil     2250.8mil   5920.509mil   2279.791mil  T         45.00                
LR 52      LED0603           6017.517mil     2250.8mil   6017.517mil     2250.8mil   6046.509mil   2279.791mil  T         45.00                
LR 53      LED0603           6143.517mil     2250.8mil   6143.517mil     2250.8mil   6172.509mil   2279.791mil  T         45.00                
LR 54      LED0603           6269.517mil     2250.8mil   6269.517mil     2250.8mil   6298.509mil   2279.791mil  T         45.00                
LR 55      LED0603           6395.517mil     2250.8mil   6395.517mil     2250.8mil   6424.509mil   2279.791mil  T         45.00                
LR 56      LED0603           6521.517mil     2250.8mil   6521.517mil     2250.8mil   6550.509mil   2279.791mil  T         45.00                
LR 57      LED0603           5639.517mil     2124.8mil   5639.517mil     2124.8mil   5668.509mil   2153.791mil  T         45.00                
LR 58      LED0603           5765.517mil     2124.8mil   5765.517mil     2124.8mil   5794.509mil   2153.791mil  T         45.00                
LR 59      LED0603           5891.517mil     2124.8mil   5891.517mil     2124.8mil   5920.509mil   2153.791mil  T         45.00                
LR 60      LED0603           6017.517mil     2124.8mil   6017.517mil     2124.8mil   6046.509mil   2153.791mil  T         45.00                
LR 61      LED0603           6143.517mil     2124.8mil   6143.517mil     2124.8mil   6172.509mil   2153.791mil  T         45.00                
LR 62      LED0603           6269.517mil     2124.8mil   6269.517mil     2124.8mil   6298.509mil   2153.791mil  T         45.00                
LR 63      LED0603           6395.517mil     2124.8mil   6395.517mil     2124.8mil   6424.509mil   2153.791mil  T         45.00                
LR 64      LED0603           6521.517mil     2124.8mil   6521.517mil     2124.8mil   6550.509mil   2153.791mil  T         45.00                
LR 65      LED0603           5639.517mil     1998.8mil   5639.517mil     1998.8mil   5668.509mil   2027.791mil  T         45.00                
LR 66      LED0603           5765.517mil     1998.8mil   5765.517mil     1998.8mil   5794.509mil   2027.791mil  T         45.00                
LR 67      LED0603           5891.517mil     1998.8mil   5891.517mil     1998.8mil   5920.509mil   2027.791mil  T         45.00                
LR 68      LED0603           6017.517mil     1998.8mil   6017.517mil     1998.8mil   6046.509mil   2027.791mil  T         45.00                
LR 69      LED0603           6143.517mil     1998.8mil   6143.517mil     1998.8mil   6172.509mil   2027.791mil  T         45.00                
LR 70      LED0603           6269.517mil     1998.8mil   6269.517mil     1998.8mil   6298.509mil   2027.791mil  T         45.00                
LR 71      LED0603           6395.517mil     1998.8mil   6395.517mil     1998.8mil   6424.509mil   2027.791mil  T         45.00                
LR 72      LED0603           6521.517mil     1998.8mil   6521.517mil     1998.8mil   6550.509mil   2027.791mil  T         45.00                
LR 73      LED0603           5639.517mil     1872.8mil   5639.517mil     1872.8mil   5668.509mil   1901.791mil  T         45.00                
LR 74      LED0603           5765.517mil     1872.8mil   5765.517mil     1872.8mil   5794.509mil   1901.791mil  T         45.00                
LR 75      LED0603           5891.517mil     1872.8mil   5891.517mil     1872.8mil   5920.509mil   1901.791mil  T         45.00                
LR 76      LED0603           6017.517mil     1872.8mil   6017.517mil     1872.8mil   6046.509mil   1901.791mil  T         45.00                
LR 77      LED0603           6143.517mil     1872.8mil   6143.517mil     1872.8mil   6172.509mil   1901.791mil  T         45.00                
LR 78      LED0603           6269.517mil     1872.8mil   6269.517mil     1872.8mil   6298.509mil   1901.791mil  T         45.00                
LR 79      LED0603           6395.517mil     1872.8mil   6395.517mil     1872.8mil   6424.509mil   1901.791mil  T         45.00                
LR 80      LED0603           6521.517mil     1872.8mil   6521.517mil     1872.8mil   6550.509mil   1901.791mil  T         45.00                
LR 81      LED0603           5639.517mil     1746.8mil   5639.517mil     1746.8mil   5668.509mil   1775.791mil  T         45.00                
LR 82      LED0603           5765.517mil     1746.8mil   5765.517mil     1746.8mil   5794.509mil   1775.791mil  T         45.00                
LR 83      LED0603           5891.517mil     1746.8mil   5891.517mil     1746.8mil   5920.509mil   1775.791mil  T         45.00                
LR 84      LED0603           6017.517mil     1746.8mil   6017.517mil     1746.8mil   6046.509mil   1775.791mil  T         45.00                
LR 85      LED0603           6143.517mil     1746.8mil   6143.517mil     1746.8mil   6172.509mil   1775.791mil  T         45.00                
LR 86      LED0603           6269.517mil     1746.8mil   6269.517mil     1746.8mil   6298.509mil   1775.791mil  T         45.00                
LR 87      LED0603           6395.517mil     1746.8mil   6395.517mil     1746.8mil   6424.509mil   1775.791mil  T         45.00                
LR 88      LED0603           6521.517mil     1746.8mil   6521.517mil     1746.8mil   6550.509mil   1775.791mil  T         45.00                
LR 89      LED0603           5639.517mil     1620.8mil   5639.517mil     1620.8mil   5668.509mil   1649.791mil  T         45.00                
LR 90      LED0603           5765.517mil     1620.8mil   5765.517mil     1620.8mil   5794.509mil   1649.791mil  T         45.00                
LR 91      LED0603           5891.517mil     1620.8mil   5891.517mil     1620.8mil   5920.509mil   1649.791mil  T         45.00                
LR 92      LED0603           6017.517mil     1620.8mil   6017.517mil     1620.8mil   6046.509mil   1649.791mil  T         45.00                
LR 93      LED0603           6143.517mil     1620.8mil   6143.517mil     1620.8mil   6172.509mil   1649.791mil  T         45.00                
LR 94      LED0603           6269.517mil     1620.8mil   6269.517mil     1620.8mil   6298.509mil   1649.791mil  T         45.00                
LR 95      LED0603           6395.517mil     1620.8mil   6395.517mil     1620.8mil   6424.509mil   1649.791mil  T         45.00                
LR 96      LED0603           6521.517mil     1620.8mil   6521.517mil     1620.8mil   6550.509mil   1649.791mil  T         45.00                
LR 97      LED0603           5639.517mil     1494.8mil   5639.517mil     1494.8mil   5668.509mil   1523.791mil  T         45.00                
LR 98      LED0603           5765.517mil     1494.8mil   5765.517mil     1494.8mil   5794.509mil   1523.791mil  T         45.00                
LR 99      LED0603           5891.517mil     1494.8mil   5891.517mil     1494.8mil   5920.509mil   1523.791mil  T         45.00                
LR 100     LED0603           6017.517mil     1494.8mil   6017.517mil     1494.8mil   6046.509mil   1523.791mil  T         45.00                
LR 101     LED0603           6143.517mil     1494.8mil   6143.517mil     1494.8mil   6172.509mil   1523.791mil  T         45.00                
LR 102     LED0603           6269.517mil     1494.8mil   6269.517mil     1494.8mil   6298.509mil   1523.791mil  T         45.00                
LR 103     LED0603           6395.517mil     1494.8mil   6395.517mil     1494.8mil   6424.509mil   1523.791mil  T         45.00                
LR 104     LED0603           6521.517mil     1494.8mil   6521.517mil     1494.8mil   6550.509mil   1523.791mil  T         45.00                
LR 105     LED0603           5639.517mil     1368.8mil   5639.517mil     1368.8mil   5668.509mil   1397.791mil  T         45.00                
LR 106     LED0603           5765.517mil     1368.8mil   5765.517mil     1368.8mil   5794.509mil   1397.791mil  T         45.00                
LR 107     LED0603           5891.517mil     1368.8mil   5891.517mil     1368.8mil   5920.509mil   1397.791mil  T         45.00                
LR 108     LED0603           6017.517mil     1368.8mil   6017.517mil     1368.8mil   6046.509mil   1397.791mil  T         45.00                
LR 109     LED0603           6143.517mil     1368.8mil   6143.517mil     1368.8mil   6172.509mil   1397.791mil  T         45.00                
LR 110     LED0603           6269.517mil     1368.8mil   6269.517mil     1368.8mil   6298.509mil   1397.791mil  T         45.00                
LR 111     LED0603           6395.517mil     1368.8mil   6395.517mil     1368.8mil   6424.509mil   1397.791mil  T         45.00                
LR 112     LED0603           6521.517mil     1368.8mil   6521.517mil     1368.8mil   6550.509mil   1397.791mil  T         45.00                
LR 113     LED0603           5639.517mil     1242.8mil   5639.517mil     1242.8mil   5668.509mil   1271.791mil  T         45.00                
LR 114     LED0603           5765.517mil     1242.8mil   5765.517mil     1242.8mil   5794.509mil   1271.791mil  T         45.00                
LR 115     LED0603           5891.517mil     1242.8mil   5891.517mil     1242.8mil   5920.509mil   1271.791mil  T         45.00                
LR 116     LED0603           6017.517mil     1242.8mil   6017.517mil     1242.8mil   6046.509mil   1271.791mil  T         45.00                
LR 117     LED0603           6143.517mil     1242.8mil   6143.517mil     1242.8mil   6172.509mil   1271.791mil  T         45.00                
LR 118     LED0603           6269.517mil     1242.8mil   6269.517mil     1242.8mil   6298.509mil   1271.791mil  T         45.00                
LR 119     LED0603           6395.517mil     1242.8mil   6395.517mil     1242.8mil   6424.509mil   1271.791mil  T         45.00                
LR 120     LED0603           6521.517mil     1242.8mil   6521.517mil     1242.8mil   6550.509mil   1271.791mil  T         45.00                
LR 121     LED0603           5639.517mil     1116.8mil   5639.517mil     1116.8mil   5668.509mil   1145.791mil  T         45.00                
LR 122     LED0603           5765.517mil     1116.8mil   5765.517mil     1116.8mil   5794.509mil   1145.791mil  T         45.00                
LR 123     LED0603           5891.517mil     1116.8mil   5891.517mil     1116.8mil   5920.509mil   1145.791mil  T         45.00                
LR 124     LED0603           6017.517mil     1116.8mil   6017.517mil     1116.8mil   6046.509mil   1145.791mil  T         45.00                
LR 125     LED0603           6143.517mil     1116.8mil   6143.517mil     1116.8mil   6172.509mil   1145.791mil  T         45.00                
LR 126     LED0603           6269.517mil     1116.8mil   6269.517mil     1116.8mil   6298.509mil   1145.791mil  T         45.00                
LR 127     LED0603           6395.517mil     1116.8mil   6395.517mil     1116.8mil   6424.509mil   1145.791mil  T         45.00                
LR 128     LED0603           6521.517mil     1116.8mil   6521.517mil     1116.8mil   6550.509mil   1145.791mil  T         45.00                
LY 56      LED0603           1124.417mil   2890.834mil   1124.417mil   2890.834mil   1165.417mil   2890.834mil  T          0.00                
LY 55      LED0603           1711.417mil   2890.834mil   1711.417mil   2890.834mil   1752.417mil   2890.834mil  T          0.00                
LY 54      LED0603           2298.417mil   2890.834mil   2298.417mil   2890.834mil   2339.417mil   2890.834mil  T          0.00                
LY 53      LED0603           2885.417mil   2890.834mil   2885.417mil   2890.834mil   2926.417mil   2890.834mil  T          0.00                
LR 133     LED0603           1124.417mil       2594mil   1124.417mil       2594mil   1165.417mil       2594mil  T          0.00                
LR 134     LED0603           1711.417mil       2594mil   1711.417mil       2594mil   1752.417mil       2594mil  T          0.00                
LR 135     LED0603           2298.417mil       2594mil   2298.417mil       2594mil   2339.417mil       2594mil  T          0.00                
LR 136     LED0603           2885.417mil       2594mil   2885.417mil       2594mil   2926.417mil       2594mil  T          0.00                
LR 137     LED0603           1122.417mil       1918mil   1122.417mil       1918mil   1163.417mil       1918mil  T          0.00                
LR 138     LED0603           1709.417mil       1918mil   1709.417mil       1918mil   1750.417mil       1918mil  T          0.00                
LR 139     LED0603           2298.417mil       1918mil   2298.417mil       1918mil   2339.417mil       1918mil  T          0.00                
LR 140     LED0603           2888.417mil       1918mil   2888.417mil       1918mil   2929.417mil       1918mil  T          0.00                
LR 141     LED0603           1122.417mil       1738mil   1122.417mil       1738mil   1163.417mil       1738mil  T          0.00                
LR 142     LED0603           1709.417mil       1738mil   1709.417mil       1738mil   1750.417mil       1738mil  T          0.00                
LR 143     LED0603           2299.417mil       1739mil   2299.417mil       1739mil   2340.417mil       1739mil  T          0.00                
LR 144     LED0603           2887.417mil       1738mil   2887.417mil       1738mil   2928.417mil       1738mil  T          0.00                
LR 145     LED0603           1122.417mil       1556mil   1122.417mil       1556mil   1163.417mil       1556mil  T          0.00                
LR 146     LED0603           1709.417mil       1556mil   1709.417mil       1556mil   1750.417mil       1556mil  T          0.00                
LR 147     LED0603           2299.417mil       1556mil   2299.417mil       1556mil   2340.417mil       1556mil  T          0.00                
LR 148     LED0603           2887.417mil       1556mil   2887.417mil       1556mil   2928.417mil       1556mil  T          0.00                
LR 149     LED0603               3523mil       1920mil       3523mil       1920mil       3564mil       1920mil  T        360.00                
LR 150     LED0603               3522mil       1734mil       3522mil       1734mil       3563mil       1734mil  T          0.00                
LR 179     LED0603               3278mil       2714mil       3278mil       2714mil       3278mil       2755mil  T         90.00                
LR 152     LED0603               3576mil       2893mil       3576mil       2893mil       3617mil       2893mil  T        360.00                
LR 153     LED0603               3520mil       2593mil       3520mil       2593mil       3520mil       2634mil  T         90.00                
LR 154     LED0603           3035.433mil   1297.063mil   3035.433mil   1297.063mil   3076.433mil   1297.063mil  T          0.00                
LR 155     LED0603           3194.307mil   1297.063mil   3194.307mil   1297.063mil   3235.307mil   1297.063mil  T          0.00                
LR 156     LED0603           3352.181mil   1297.063mil   3352.181mil   1297.063mil   3393.181mil   1297.063mil  T          0.00                
LR 157     LED0603            734.685mil    940.126mil    734.685mil    940.126mil    775.685mil    940.126mil  T          0.00                
LR 158     LED0603            734.685mil    837.126mil    734.685mil    837.126mil    775.685mil    837.126mil  T          0.00                
LR 159     LED0603            734.685mil    735.126mil    734.685mil    735.126mil    775.685mil    735.126mil  T          0.00                
LR 160     LED0603            734.685mil    633.126mil    734.685mil    633.126mil    775.685mil    633.126mil  T          0.00                
LR 161     LED0603           1200.496mil       1028mil   1200.496mil       1028mil   1241.496mil       1028mil  T          0.00                
LR 162     LED0603            1501.37mil       1028mil    1501.37mil       1028mil    1542.37mil       1028mil  T          0.00                
LR 163     LED0603           1802.244mil       1028mil   1802.244mil       1028mil   1843.244mil       1028mil  T          0.00                
LR 164     LED0603           2103.118mil       1028mil   2103.118mil       1028mil   2144.118mil       1028mil  T          0.00                
LR 165     LED0603           2521.992mil        840mil   2521.992mil        840mil   2562.992mil        840mil  T          0.00                
LR 166     LED0603           2822.866mil        840mil   2822.866mil        840mil   2863.866mil        840mil  T          0.00                
LR 167     LED0603            3123.74mil        840mil    3123.74mil        840mil    3164.74mil        840mil  T          0.00                
LR 168     LED0603           3424.614mil        840mil   3424.614mil        840mil   3465.614mil        840mil  T          0.00                
LR 169     LED0603           3832.488mil        840mil   3832.488mil        840mil   3873.488mil        840mil  T          0.00                
LR 170     LED0603           4133.362mil        840mil   4133.362mil        840mil   4174.362mil        840mil  T          0.00                
LR 171     LED0603           4434.236mil        840mil   4434.236mil        840mil   4475.236mil        840mil  T          0.00                
LR 172     LED0603            4735.11mil        840mil    4735.11mil        840mil    4776.11mil        840mil  T          0.00                
LR 173     LED0603           5142.984mil        840mil   5142.984mil        840mil   5183.984mil        840mil  T          0.00                
LR 174     LED0603           5443.858mil        840mil   5443.858mil        840mil   5484.858mil        840mil  T          0.00                
LR 175     LED0603           5748.669mil        840mil   5748.669mil        840mil   5789.669mil        840mil  T          0.00                
LR 176     LED0603           6045.606mil        840mil   6045.606mil        840mil   6086.606mil        840mil  T          0.00                
LR 177     LED0603           6372.417mil        778mil   6372.417mil        778mil   6413.417mil        778mil  T          0.00                
LR 178     LED0603           6372.417mil        663mil   6372.417mil        663mil   6413.417mil        663mil  T          0.00                
LY 2       LED0603           5291.917mil     2881.8mil   5291.917mil     2881.8mil   5332.917mil     2881.8mil  T        360.00                
LY 3       LED0603           5291.917mil     2755.8mil   5291.917mil     2755.8mil   5332.917mil     2755.8mil  T        360.00                
LY 4       LED0603           5291.917mil     2629.8mil   5291.917mil     2629.8mil   5332.917mil     2629.8mil  T        360.00                
LY 5       LED0603           5291.917mil     2503.8mil   5291.917mil     2503.8mil   5332.917mil     2503.8mil  T        360.00                
LY 6       LED0603           5291.917mil     2377.8mil   5291.917mil     2377.8mil   5332.917mil     2377.8mil  T        360.00                
LY 7       LED0603           5291.917mil     2251.8mil   5291.917mil     2251.8mil   5332.917mil     2251.8mil  T        360.00                
LY 8       LED0603           5291.917mil     2125.8mil   5291.917mil     2125.8mil   5332.917mil     2125.8mil  T        360.00                
LY 9       LED0603           5291.917mil     1999.8mil   5291.917mil     1999.8mil   5332.917mil     1999.8mil  T        360.00                
LY 10      LED0603           5291.917mil     1873.8mil   5291.917mil     1873.8mil   5332.917mil     1873.8mil  T        360.00                
LY 11      LED0603           5291.917mil     1747.8mil   5291.917mil     1747.8mil   5332.917mil     1747.8mil  T        360.00                
LY 12      LED0603           5291.917mil     1621.8mil   5291.917mil     1621.8mil   5332.917mil     1621.8mil  T        360.00                
LY 13      LED0603           5291.917mil     1495.8mil   5291.917mil     1495.8mil   5332.917mil     1495.8mil  T        360.00                
LY 14      LED0603           5291.917mil     1369.8mil   5291.917mil     1369.8mil   5332.917mil     1369.8mil  T        360.00                
LY 15      LED0603           5291.917mil     1243.8mil   5291.917mil     1243.8mil   5332.917mil     1243.8mil  T        360.00                
LY 16      LED0603           5291.917mil     1117.8mil   5291.917mil     1117.8mil   5332.917mil     1117.8mil  T        360.00                
LY 17      LED0603           4627.917mil     3007.8mil   4627.917mil     3007.8mil   4668.917mil     3007.8mil  T        360.00                
LY 18      LED0603           4627.917mil     2881.8mil   4627.917mil     2881.8mil   4668.917mil     2881.8mil  T        360.00                
